raj,raj_id,raj_nome,juiz_diretor,email,comarca_cirscunscricao,comarca,cirscunscricao_judiciaria
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Arujá - 44ª CJ,Arujá,44ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Barueri - 4ª CJ,Barueri,4ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Carapicuiba - 4ª CJ,Carapicuiba,4ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Cotia - 52ª CJ,Cotia,52ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Diadema - 2ª CJ,Diadema,2ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Embu das Artes - 52ª CJ,Embu das Artes,52ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Embu-Guaçu - 52ª CJ,Embu-Guaçu,52ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Ferraz de Vasconcelos - 45ª CJ,Ferraz de Vasconcelos,45ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Guararema - 45ª CJ,Guararema,45ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Guarulhos - 44ª CJ,Guarulhos,44ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Itapecerica da Serra - 52ª CJ,Itapecerica da Serra,52ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Itapevi - 52ª CJ,Itapevi,52ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Itaquaquecetuba - 45ª CJ,Itaquaquecetuba,45ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Jandira - 4ª CJ,Jandira,4ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Mairiporã - 44ª CJ,Mairiporã,44ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Mauá - 3ª CJ,Mauá,3ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Mogi das Cruzes - 45ª CJ,Mogi das Cruzes,45ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Osasco - 4ª CJ,Osasco,4ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Poá - 45ª CJ,Poá,45ª CJ
1ª RAJ - Grande São Paulo,1ª RAJ,Grande São Paulo,Juiza diretora: Gabriela Fragoso Calasso Costa,(gfccosta@tjsp.jus.br),Ribeirão Pires - 3ª CJ,Ribeirão Pires,3ª CJ
