comarca_tjsp,id_cj
Adamantina,30
Aguaí,50
Agudos,32
Altinópolis,39
Americana,53
Américo Brasiliense,13
Amparo,54
Andradina,37
Angatuba,22
Aparecida,48
Apiaí,49
Araçatuba,36
Araraquara,13
Araras,10
Artur Nogueira,7
Arujá,44
Assis,26
Atibaia,6
Auriflama,55
Avaré,24
Águas de Lindóia,54
Bananal,48
Bariri,33
Barra Bonita,33
Barretos,14
Barueri,4
Bastos,30
Batatais,39
Bauru,32
Bebedouro,14
Bertioga,1
Bilac,36
Birigui,36
Boituva,20
Borborema,13
Botucatu,23
Bragança Paulista,6
Brodowski,39
Brotas,9
Buri,49
Buritama,36
Cabreúva,20
Cachoeira Paulista,48
Caconde,43
Caçapava,47
Cafelândia,35
Caieiras,5
Cajamar,5
Cajuru,41
Campinas,8
Campo Limpo Paulista,5
Campos do Jordão,47
Cananéia,21
Capão Bonito,22
Capivari,34
Caraguatatuba,51
Carapicuiba,4
Cardoso,17
Casa Branca,43
Catanduva,15
Cândido Mota,26
Cerqueira Cesar,24
Cerquilho,34
Cesário Lange,22
Chavantes,25
Colina,14
Conchal,7
Conchas,23
Cordeirópolis,10
Cosmópolis,8
Cotia,52
Cravinhos,41
Cruzeiro,48
Cubatão,1
Cunha,48
Descalvado,12
Diadema,2
Dois Córregos,33
Dracena,29
Duartina,32
Eldorado,21
Embu das Artes,52
Embu-Guaçu,52
Espírito Santo do Pinhal,50
Estrela D’Oeste,18
Fartura,24
Fernandópolis,18
Ferraz de Vasconcelos,45
Flórida Paulista,30
Franca,38
Francisco Morato,5
Franco da Rocha,5
Garça,31
Gália,31
General Salgado,18
Getulina,35
Guaíra,14
Guararapes,36
Guararema,45
Guaratinguetá,48
Guará,40
Guariba,42
Guarujá,1
Guarulhos,44
Hortolândia,53
Iacanga,13
Ibaté,12
Ibitinga,13
Ibiúna,19
Iepê,27
Igarapava,40
Iguape,21
Ilha Solteira,37
Ilhabela,51
Indaiatuba,20
Ipaussu,25
Ipuã,40
Itaberá,49
Itaí,24
Itajobi,15
Itanhaém,56
Itapecerica da Serra,52
Itapetininga,22
Itapeva,49
Itapevi,52
Itapira,7
Itaporanga,49
Itaquaquecetuba,45
Itararé,49
Itariri,56
Itatiba,5
Itatinga,23
Itápolis,13
Itirapina,9
Itu,20
Itupeva,5
Ituverava,40
Jaboticabal,42
Jacareí,46
Jacupiranga,21
Jaguariúna,54
Jales,55
Jandira,4
Jardinópolis,41
Jarinu,6
Jaú,33
José Bonifácio,16
Jundiaí,5
Junqueirópolis,29
Juquiá,21
Laranjal Paulista,34
Leme,11
Lençóis Paulista,32
Limeira,10
Lins,35
Lorena,48
Louveira,5
Lucélia,30
Macatuba,33
Macaubal,16
Mairinque,19
Mairiporã,44
Maracaí,26
Marília,31
Martinópolis,27
Matão,13
Mauá,3
Miguelópolis,40
Miracatu,21
Mirandópolis,37
Mirante do Paranapanema,28
Mirassol,16
Mococa,43
Mogi Guaçu,7
Mogi Mirim,7
Mogi das Cruzes,45
Mongaguá,56
Monte Alto,42
Monte Aprazível,16
Monte Azul Paulista,14
Monte Mor,34
Morro Agudo,39
Nazaré Paulista,6
Neves Paulista,16
Nhandeara,17
Nova Granada,16
Nova Odessa,53
Novo Horizonte,15
Nuporanga,39
Olímpia,14
Orlândia,39
Osasco,4
Osvaldo Cruz,30
Ourinhos,25
Ouroeste,18
Pacaembu,29
Palestina,16
Palmeira D’Oeste,55
Palmital,26
Panorama,29
Paraguaçu Paulista,26
Paraibuna,46
Paranapanema,24
Pariquera-Açu,21
Patrocínio Paulista,38
Paulínia,8
Paulo de Faria,16
Pederneiras,33
Pedregulho,38
Pedreira,54
Penápolis,36
Pereira Barreto,37
Peruíbe,56
Piedade,19
Pilar do Sul,19
Pindamonhangaba,47
Pinhalzinho,6
Piquete,48
Piracaia,6
Piracicaba,34
Piraju,25
Pirajuí,32
Pirangi,42
Pirapozinho,27
Pirassununga,11
Piratininga,32
Pitangueiras,42
Poá,45
Pompéia,31
Pontal,41
Porangaba,22
Porto Feliz,20
Porto Ferreira,11
Potirendaba,16
Praia Grande,1
Presidente Bernardes,27
Presidente Epitácio,28
Presidente Prudente,27
Presidente Venceslau,28
Promissão,35
Quatá,26
Queluz,48
Rancharia,27
Regente Feijó,27
Registro,21
Ribeirão Bonito,12
Ribeirão Pires,3
Ribeirão Preto,41
Rio Claro,9
Rio Grande de Serra,3
Rio das Pedras,34
Rosana,28
Roseira,48
Salesópolis,46
Salto,20
Salto de Pirapora,19
Santa Adélia,15
Santa Bárbara D’Oeste,53
Santa Branca,46
Santa Cruz das Palmeiras,43
Santa Cruz do Rio Pardo,25
Santa Fé do Sul,55
Santa Isabel,44
Santa Rita do Passa Quatro,11
Santa Rosa do Viterbo,41
Santana do Parnaíba,4
Santo Anastácio,28
Santo André,3
Santos,1
São Bento do Sapucaí,47
São Bernardo do Campo,2
São Caetano do Sul,3
São Carlos,12
São Joaquim da Barra,40
São João da Boa Vista,50
São José do Rio Pardo,43
São José do Rio Preto,16
São José dos Campos,46
São Luis do Paraitinga,47
São Manuel,23
São Miguel Arcanjo,22
São Paulo,0
São Pedro,34
São Roque,19
São Sebastião,51
São Sebastião da Grama,43
São Simão,41
São Vicente,1
Serra Negra,54
Serrana,41
