cj_id,cj_nome,cj_sigla,raj_id
0,Capital,Capital,1
1,1ª Circunscrição Judiciária,1ª CJ,2
2,2ª Circunscrição Judiciária,2ª CJ,1
3,3ª Circunscrição Judiciária,3ª CJ,1
4,4ª Circunscrição Judiciária,4ª CJ,1
5,5ª Circunscrição Judiciária,5ª CJ,4
6,6ª Circunscrição Judiciária,6ª CJ,4
7,7ª Circunscrição Judiciária,7ª CJ,4
8,8ª Circunscrição Judiciária,8ª CJ,4
9,9ª Circunscrição Judiciária,9ª CJ,4
10,10ª Circunscrição Judiciária,10ª CJ,4
11,11ª Circunscrição Judiciária,11ª CJ,4
12,12ª Circunscrição Judiciária,12ª CJ,1
13,13ª Circunscrição Judiciária,13ª CJ,1
14,14ª Circunscrição Judiciária,14ª CJ,3
15,15ª Circunscrição Judiciária,15ª CJ,3
16,16ª Circunscrição Judiciária,16ª CJ,3
17,17ª Circunscrição Judiciária,17ª CJ,3
18,18ª Circunscrição Judiciária,18ª CJ,3
19,19ª Circunscrição Judiciária,19ª CJ,5
20,20ª Circunscrição Judiciária,20ª CJ,5
21,21ª Circunscrição Judiciária,21ª CJ,2
22,22ª Circunscrição Judiciária,22ª CJ,5
23,23ª Circunscrição Judiciária,23ª CJ,3
24,24ª Circunscrição Judiciária,24ª CJ,3
25,25ª Circunscrição Judiciária,25ª CJ,3
26,26ª Circunscrição Judiciária,26ª CJ,5
27,27ª Circunscrição Judiciária,27ª CJ,5
28,28ª Circunscrição Judiciária,28ª CJ,5
29,29ª Circunscrição Judiciária,29ª CJ,5
30,30ª Circunscrição Judiciária,30ª CJ,5
31,31ª Circunscrição Judiciária,31ª CJ,5
32,32ª Circunscrição Judiciária,32ª CJ,3
33,33ª Circunscrição Judiciária,33ª CJ,3
34,34ª Circunscrição Judiciária,34ª CJ,4
35,35ª Circunscrição Judiciária,35ª CJ,2
36,36ª Circunscrição Judiciária,36ª CJ,2
37,37ª Circunscrição Judiciária,37ª CJ,2
38,38ª Circunscrição Judiciária,38ª CJ,1
39,39ª Circunscrição Judiciária,39ª CJ,1
40,40ª Circunscrição Judiciária,40ª CJ,1
41,41ª Circunscrição Judiciária,41ª CJ,1
42,42ª Circunscrição Judiciária,42ª CJ,1
43,43ª Circunscrição Judiciária,43ª CJ,1
44,44ª Circunscrição Judiciária,44ª CJ,1
45,45ª Circunscrição Judiciária,45ª CJ,1
46,46ª Circunscrição Judiciária,46ª CJ,4
47,47ª Circunscrição Judiciária,47ª CJ,4
48,48ª Circunscrição Judiciária,48ª CJ,4
49,49ª Circunscrição Judiciária,49ª CJ,5
50,50ª Circunscrição Judiciária,50ª CJ,4
51,51ª Circunscrição Judiciária,51ª CJ,4
52,52ª Circunscrição Judiciária,52ª CJ,1
53,53ª Circunscrição Judiciária,53ª CJ,4
54,54ª Circunscrição Judiciária,54ª CJ,4
55,55ª Circunscrição Judiciária,55ª CJ,2
56,56ª Circunscrição Judiciária,56ª CJ,2
