municipio_id,municipio_nome,municipio_cod_tjsp,municipio_nome_tjsp,comarca
3500105,Adamantina,6504,Adamantina,Município Adamantina da Comarca Adamantina - 5ª RAJ Presidente Prudente
3500204,Adolfo,6505,Adolfo,Município Adolfo está jurisdicionado à Comarca José Bonifácio - 8ª RAJ São José do Rio Preto
3500303,Aguaí,6506,Aguaí,Município Aguaí da Comarca Aguaí - 4ª RAJ Campinas
3500402,Águas da Prata,6507,Águas da Prata,Município Águas da Prata está jurisdicionado à Comarca São João da Boa Vista - 4ª RAJ Campinas
3500501,Águas de Lindóia,6508,Águas de Lindóia,Município Águas de Lindóia da Comarca Águas de Lindóia - 4ª RAJ Campinas
3500550,Águas de Santa Bárbara,6509,Águas de Santa Bárbara,Município Águas de Santa Bárbara está jurisdicionado à Comarca Cerqueira César - 3ª RAJ Bauru
3500600,Águas de São Pedro,6510,Águas de São Pedro,Município Águas de São Pedro está jurisdicionado à Comarca São Pedro - 4ª RAJ Campinas
3500709,Agudos,6511,Agudos,Município Agudos da Comarca Agudos - 3ª RAJ Bauru
3500758,Alambari,6512,Alambari,Município Alambari está jurisdicionado à Comarca Itapetininga - 10ª RAJ Sorocaba
3500808,Alfredo Marcondes,6513,Alfredo Marcondes,Município Alfredo Marcondes está jurisdicionado à Comarca Presidente Prudente - 5ª RAJ Presidente Prudente
3500907,Altair,6514,Altair,Município Altair está jurisdicionado à Comarca Olímpia - 8ª RAJ São José do Rio Preto
3501004,Altinópolis,6515,Altinópolis,Município Altinópolis da Comarca Altinópolis - 6ª RAJ Ribeirão Preto
3501103,Alto Alegre,6516,Alto Alegre,Município Alto Alegre está jurisdicionado à Comarca Penápolis - 2ª RAJ Araçatuba
3501152,Alumínio,6517,Alumínio,Município Alumínio está jurisdicionado à Comarca Mairinque - 10ª RAJ Sorocaba
3501202,Álvares Florence,6518,Álvares Florence,Município Álvares Florence está jurisdicionado à Comarca Votuporanga - 8ª RAJ São José do Rio Preto
3501301,Álvares Machado,6519,Álvares Machado,Município Álvares Machado está jurisdicionado à Comarca Presidente Prudente - 5ª RAJ Presidente Prudente
3501400,Álvaro de Carvalho,6520,Álvaro de Carvalho,Município Álvaro de Carvalho está jurisdicionado à Comarca Garça - 5ª RAJ Presidente Prudente
3501509,Alvinlândia,6521,Alvinlândia,Município Alvinlândia está jurisdicionado à Comarca Garça - 5ª RAJ Presidente Prudente
3501608,Americana,6522,Americana,Município Americana da Comarca Americana - 4ª RAJ Campinas
3501707,Américo Brasiliense,6523,Américo Brasiliense,Município Américo Brasiliense da Comarca Américo Brasiliense - 6ª RAJ Ribeirão Preto
3501806,Américo de Campos,6524,Américo de Campos,Município Américo de Campos está jurisdicionado à Comarca Tanabi - 8ª RAJ São José do Rio Preto
3501905,Amparo,6525,Amparo,Município Amparo da Comarca Amparo - 4ª RAJ Campinas
3502002,Analândia,6526,Analândia,Município Analândia está jurisdicionado à Comarca Itirapina - 4ª RAJ Campinas
3502101,Andradina,6527,Andradina,Município Andradina da Comarca Andradina - 2ª RAJ Araçatuba
3502200,Angatuba,6528,Angatuba,Município Angatuba da Comarca Angatuba - 10ª RAJ Sorocaba
3502309,Anhembi,6529,Anhembi,Município Anhembi está jurisdicionado à Comarca Conchas - 3ª RAJ Bauru
3502408,Anhumas,6530,Anhumas,Município Anhumas está jurisdicionado à Comarca Presidente Prudente - 5ª RAJ Presidente Prudente
3502507,Aparecida,6531,Aparecida,Município Aparecida da Comarca Aparecida - 9ª RAJ São José dos Campos
