id_municipio,id_municipio_tjsp,municipio_tjsp,municipio_corrigido
3500105,6504,Adamantina,Adamantina
3500204,6505,Adolfo,Adolfo
3500303,6506,Aguaí,Aguaí
3500402,6507,Águas da Prata,Águas da Prata
3500501,6508,Águas de Lindóia,Águas de Lindóia
3500550,6509,Águas de Santa Bárbara,Águas de Santa Bárbara
3500600,6510,Águas de São Pedro,Águas de São Pedro
3500709,6511,Agudos,Agudos
3500758,6512,Alambari,Alambari
3500808,6513,Alfredo Marcondes,Alfredo Marcondes
3500907,6514,Altair,Altair
3501004,6515,Altinópolis,Altinópolis
3501103,6516,Alto Alegre,Alto Alegre
3501152,6517,Alumínio,Alumínio
3501202,6518,Álvares Florence,Álvares Florence
3501301,6519,Álvares Machado,Álvares Machado
3501400,6520,Álvaro de Carvalho,Álvaro de Carvalho
3501509,6521,Alvinlândia,Alvinlândia
3501608,6522,Americana,Americana
3501707,6523,Américo Brasiliense,Américo Brasiliense
3501806,6524,Américo de Campos,Américo de Campos
3501905,6525,Amparo,Amparo
3502002,6526,Analândia,Analândia
3502101,6527,Andradina,Andradina
3502200,6528,Angatuba,Angatuba
3502309,6529,Anhembi,Anhembi
3502408,6530,Anhumas,Anhumas
3502507,6531,Aparecida,Aparecida
3502606,6532,Aparecida d'Oeste,Aparecida d'Oeste
3502705,6533,Apiaí,Apiaí
3502754,6534,Araçariguama,Araçariguama
3502804,6535,Araçatuba,Araçatuba
3502903,6536,Araçoiaba da Serra,Araçoiaba da Serra
3503000,6537,Aramina,Aramina
3503109,6538,Arandu,Arandu
3503158,6539,Arapeí,Arapeí
3503208,6540,Araraquara,Araraquara
3503307,6541,Araras,Araras
3503356,6542,Arco-Íris,Arco-Íris
3503406,6543,Arealva,Arealva
3503505,6544,Areias,Areias
3503604,6545,Areiópolis,Areiópolis
3503703,6546,Ariranha,Ariranha
3503802,6547,Artur Nogueira,Artur Nogueira
3503901,6548,Arujá,Arujá
3503950,6549,Aspásia,Aspásia
3504008,6550,Assis,Assis
3504107,6551,Atibaia,Atibaia
3504206,6552,Auriflama,Auriflama
3504305,6553,Avaí,Avaí
3504404,6554,Avanhandava,Avanhandava
3504503,6555,Avaré,Avaré
3504602,6556,Bady Bassitt,Bady Bassitt
3504701,6557,Balbinos,Balbinos
3504800,6558,Bálsamo,Bálsamo
3504909,6559,Bananal,Bananal
3505005,6560,Barão de Antonina,Barão de Antonina
3505104,6561,Barbosa,Barbosa
3505203,6562,Bariri,Bariri
3505302,6563,Barra Bonita,Barra Bonita
3505351,6564,Barra do Chapéu,Barra do Chapéu
3505401,6565,Barra do Turvo,Barra do Turvo
3505500,6566,Barretos,Barretos
3505609,6567,Barrinha,Barrinha
3505708,6568,Barueri,Barueri
3505807,6569,Bastos,Bastos
3505906,6570,Batatais,Batatais
3506003,6571,Bauru,Bauru
3506102,6572,Bebedouro,Bebedouro
3506201,6573,Bento de Abreu,Bento de Abreu
3506300,6574,Bernardino de Campos,Bernardino de Campos
3506359,6575,Bertioga,Bertioga
3506409,6576,Bilac,Bilac
3506508,6577,Birigui,Birigui
3506607,6578,Biritiba-Mirim,Biritiba-Mirim
3506706,6579,Boa Esperança do Sul,Boa Esperança do Sul
3506805,6580,Bocaina,Bocaina
3506904,6581,Bofete,Bofete
3507001,6582,Boituva,Boituva
3507100,6583,Bom Jesus dos Perdões,Bom Jesus dos Perdões
3507159,6584,Bom Sucesso de Itararé,Bom Sucesso de Itararé
3507209,6585,Borá,Borá
3507308,6586,Boracéia,Boracéia
3507407,6587,Borborema,Borborema
3507456,6588,Borebi,Borebi
