id_setor,setor,dados_gerais,telefone,fax,email,id_unidade
1,"Juizado Especial Cível, Criminal e da Fazenda Pública de Adamantina","Juizado Especial Civil, Criminal e da Fazenda Pública de Adamantina",(18) 2106-1723,(18) Não Informado,adamantjec@tjsp.jus.br,1
2,3ª Vara Judicial,Não Informado,(18) 2106-1706,(18) Não Informado,adamant3@tjsp.jus.br,1
3,3º Ofício Judicial,Não Informado,(18) 2106-1706,(18) Não Informado,adamant3@tjsp.jus.br,1
4,2ª Vara Judicial,Não Informado,(18) 2106-1722,(18) Não Informado,adamant2@tjsp.jus.br,1
5,1º Ofício Judicial,Não Informado,(18) 2106-1704,(18) Não Informado,adamant1@tjsp.jus.br,1
6,2º Ofício Judicial,Não Informado,(18) 2106-1708,(18) Não Informado,adamant2@tjsp.jus.br,1
7,Seção de Distribuição Judicial,Não Informado,(18) 2106-1716 - Ramal 28,(18) Não Informado,adamantina@tjsp.jus.br,1
8,Seção de Administração Geral,Prédio do Fórum Adamantina,(18) Não Informado,(18) Não Informado,adamantinaadm@tjsp.jus.br,1
9,1ª Vara Judicial,Não Informado,(18) 2106-1725,(18) Não Informado,adamant1@tjsp.jus.br,1
10,Psicosocial,Não Informado,(18) 2106-1720,(18) Não Informado,Não Informado,1
11,Sala dos Oficiais de Justiça,Não Informado,(18) 2106-1724,(18) Não Informado,Não Informado,1
12,Central de mandados,Não Informado,(18) 2106-1707,(18) Não Informado,adamantsadm@tjsp.jus.br,1
13,Copa,Não Informado,(18) Não Informado,(18) Não Informado,Não Informado,1
14,CEJUSC - Centro Judiciário de Solução de Conflitos e Cidadania,"Rua Adhemar de Barros, 130",(18) 3522-2864,(18) Não Informado,Não Informado,1
15,Juizado Especial Cível,Não Informado,(19) 3653-7909,(19) Não Informado,aguaijec@tjsp.jus.br,2
16,Vara Judicial,Não Informado,(19) 3653-7907 - Ramal Ofício Cível,(19) Não Informado,aguai@tjsp.jus.br,2
17,Ofício Judicial,Não Informado,(19) 3653-7907 - Ramal Ofício Cível,(19) Não Informado,aguai@tjsp.jus.br,2
18,Seção de Administração Geral,Não Informado,(19) 3653-7901,(19) Não Informado,aguaiadm@tjsp.jus.br,2
19,Modulo Oficiais de Justiça,Não Informado,(19) Não Informado,(19) Não Informado,Não Informado,2
20,Copa dos magistrados,Não Informado,(19) Não Informado,(19) Não Informado,Não Informado,2
21,Copa dos funcionários,Não Informado,(19) Não Informado,(19) Não Informado,Não Informado,2
22,Ofício Judicial,DDD (19),(19) 2154-5211 - Ramal Criminal,(19) Não Informado,aguaslindoia@tjsp.jus.br,3
23,Seção de Administração Geral,DDD (19),(19) 2154-5204,(19) Não Informado,aguaslindoiaadm@tjsp.jus.br,3
24,Vara Judicial,Térreo,(19) 2154-5205,(19) Não Informado,aguaslindoia@tjsp.jus.br,3
25,Central de Atendimento,Não Informado,(19) Não Informado,(19) Não Informado,Não Informado,3
26,Juizado Especial Cível,Térreo,(14) 2151-5464,(14) Não Informado,Não Informado,4
27,1ª Vara Judicial,Piso Superior,(14) 2151-5460 - Ramal Cart Cível,(14) 2151-5461 - Ramal Cart Criminal,agudos@tjsp.jus.br,4
