id_municipio,id_municipio_tjsp,municipio_tjsp,municipio_corrigido,raj,comarca_tjsp,comarca_sede,unidades
3500105,6504,Adamantina,Adamantina,5ª RAJ Presidente Prudente,Adamantina,1,Fórum I Adamantina
3500105,6504,Adamantina,Adamantina,5ª RAJ Presidente Prudente,Adamantina,1,Fórum II Adamantina (Residência Oficial)
3500105,6504,Adamantina,Adamantina,5ª RAJ Presidente Prudente,Adamantina,1,Fórum III Adamantina - UAAJ - FAC. ADAM. INTEGRADAS
3500204,6505,Adolfo,Adolfo,8ª RAJ São José do Rio Preto,José Bonifácio,0,Fórum José Bonifácio - II (CEJUSC)
3500204,6505,Adolfo,Adolfo,8ª RAJ São José do Rio Preto,José Bonifácio,0,Fórum José Bonifácio I (Principal)
3500303,6506,Aguaí,Aguaí,4ª RAJ Campinas,Aguaí,1,Comarca  de Aguaí
3500402,6507,Águas da Prata,Águas da Prata,4ª RAJ Campinas,São João da Boa Vista,0,Cartório Anexo do Juizado Especial Cível - UNIFEOB.
3500402,6507,Águas da Prata,Águas da Prata,4ª RAJ Campinas,São João da Boa Vista,0,Fórum I Dr. Plínio Barreto
3500501,6508,Águas de Lindóia,Águas de Lindóia,4ª RAJ Campinas,Águas de Lindóia,1,Fórum Águas de Lindóia
3500501,6508,Águas de Lindóia,Águas de Lindóia,4ª RAJ Campinas,Águas de Lindóia,1,Fórum Águas de Lindóia (J.E.CÍVEL e Criminal)
3500550,6509,Águas de Santa Bárbara,Águas de Santa Bárbara,3ª RAJ Bauru,Cerqueira César,0,Fórum Cerqueira César
3500600,6510,Águas de São Pedro,Águas de São Pedro,4ª RAJ Campinas,São Pedro,0,"Fórum ""Francisco Mendes de Aguiar"""
3500709,6511,Agudos,Agudos,3ª RAJ Bauru,Agudos,1,"FÓRUM DESEMBARGADOR ""FRANCISCO MEIRELLES DOS SANTOS"""
3500709,6511,Agudos,Agudos,3ª RAJ Bauru,Agudos,1,Fórum Agudos (CEJUSC)
3500758,6512,Alambari,Alambari,10ª RAJ Sorocaba,Itapetininga,0,Fórum Itapetininga I - (Desembargador Bernardes Júnior)
3500758,6512,Alambari,Alambari,10ª RAJ Sorocaba,Itapetininga,0,Fórum Itapetininga II (Criminal) Juiz Paulo Rubens Soares Hungria
3500758,6512,Alambari,Alambari,10ª RAJ Sorocaba,Itapetininga,0,Fórum Itapetininga III (CEJUSC)
3500808,6513,Alfredo Marcondes,Alfredo Marcondes,5ª RAJ Presidente Prudente,Presidente Prudente,0,Fórum Presidente Prudente - Francisco de Souza Nogueira
3500808,6513,Alfredo Marcondes,Alfredo Marcondes,5ª RAJ Presidente Prudente,Presidente Prudente,0,Fórum Presidente Prudente II (CEJUSC)
3500808,6513,Alfredo Marcondes,Alfredo Marcondes,5ª RAJ Presidente Prudente,Presidente Prudente,0,Presidente Prudente III (DARAJ)
3500907,6514,Altair,Altair,8ª RAJ São José do Rio Preto,Olímpia,0,Fórum Olímpia I - (Principal)
3500907,6514,Altair,Altair,8ª RAJ São José do Rio Preto,Olímpia,0,Fórum Olímpia II (3ª Vara)
