id_unidade,unidade,telefone,fax,email,cj,num_varas_instaladas,entrancia,dist_capital,tensao_eletrica,endereco_lougradouro,endereco_cep,endereco_municipio,endereco_uf,id_comarca,comarca_corrigido,id_cj
1,Fórum I Adamantina,(18) 2106-1718,Não Informado,adamantinaadm@tjsp.jus.br,Tupã,3,Entrância Inicial,500.26 Km,110V,"Avenida Ademar de Barros , 133 - Centro",17800-000,Adamantina,SP,3500105.0,Adamantina,30.0
2,Comarca  de Aguaí,Não Informado,Não Informado,aguaiadm@tjsp.jus.br,São João da Boa Vista,1,Entrância Inicial,169.25 Km,110V,"Rua Joaquim Paula Cruz , 900 - Jd. Sta. Úrsula",13863-044,Aguaí,SP,3500303.0,Aguaí,50.0
3,Fórum Águas de Lindóia,(19) 2154-5204,Não Informado,aguaslindoiaadm@tjsp.jus.br,Amparo,1,Entrância Inicial,119.20 Km,110V,"Rua Francisco Spartani , 66 - Jd. Le Villete",13940-000,Águas de Lindóia,SP,3500501.0,Águas de Lindóia,54.0
4,"FÓRUM DESEMBARGADOR ""FRANCISCO MEIRELLES DOS SANTOS""",(14) 2151-5455,Não Informado,agudosadm@tjsp.jus.br,Bauru,2,Entrância Inicial,268.95 Km,110V,"Rua Paulo Nelli , 276 - Vila Andreotti",17120-370,Agudos,SP,3500709.0,Agudos,32.0
5,"Fórum ""Desembargador ALFREDO FANUCCHI NETO""",(16) 3665-2211,Não Informado,altinopadm@tjsp.jus.br,Batatais,1,Entrância Inicial,290.52 Km,110V,"Avenida Doutor Alberto Crivelenti , 555 - Centro",14350-005,Altinópolis,SP,3501004.0,Altinópolis,39.0
6,Fórum Americana,Não Informado,(19) 3309-2515,americanaadm@tjsp.jus.br,Americana,10,Entrância Final,114.63 Km,110V,"Avenida Brasil Sul , 2669 - Parque Res. Nardini",13468-390,Americana,SP,3501608.0,Americana,53.0
7,Fórum Américo Brasiliense,(16) 2109-1420,Não Informado,americoadm@tjsp.jus.br,Araraquara,3,Entrância Inicial,252.51 Km,110V,"Rua D. Pedro II , 65 - Centro",14820-000,Américo Brasiliense,SP,3501707.0,Américo Brasiliense,13.0
8,Fórum Dr. Laudo Ferreira de Camargo,Não Informado,Não Informado,amparoadm@tjsp.jus.br,Amparo,2,Entrância Final,95.08 Km,220V,"Praça Tenente José Ferraz de Oliveira , 55 - Centro",13900-900,Amparo,SP,3501905.0,Amparo,54.0
9,Fórum Andradina I (Homero Rodrigues Silva),(18) 2122-2358,(18) 98169-5471,andradinaadm@tjsp.jus.br,Andradina,3,Entrância Final,570.27 Km,110V,"Rua Paes Leme , 2052 - Stella Maris",16901-907,Andradina,SP,3502101.0,Andradina,37.0
10,Fórum I Angatuba,(15) 3255-9805,Não Informado,angatubaadm@tjsp.jus.br,Itapetininga,1,Entrância Inicial,181.28 Km,110V,"Rua Públio de Almeida Melo , 832 - Centro",18240-000,Angatuba,SP,3502200.0,Angatuba,22.0
