comarca_id,comarca_nome,comarca_nome_tjsp,cj_id
3500105,Adamantina,Adamantina,30
3500303,Aguaí,Aguaí,50
3500709,Agudos,Agudos,32
3501004,Altinópolis,Altinópolis,39
3501608,Americana,Americana,53
3501707,Américo Brasiliense,Américo Brasiliense,13
3501905,Amparo,Amparo,54
3502101,Andradina,Andradina,37
3502200,Angatuba,Angatuba,22
3502507,Aparecida,Aparecida,48
3502705,Apiaí,Apiaí,49
3502804,Araçatuba,Araçatuba,36
3503208,Araraquara,Araraquara,13
3503307,Araras,Araras,10
3503802,Artur Nogueira,Artur Nogueira,7
3503901,Arujá,Arujá,44
3504008,Assis,Assis,26
3504107,Atibaia,Atibaia,6
3504206,Auriflama,Auriflama,55
3504503,Avaré,Avaré,24
3500501,Águas de Lindóia,Águas de Lindóia,54
3504909,Bananal,Bananal,48
3505203,Bariri,Bariri,33
3505302,Barra Bonita,Barra Bonita,33
3505500,Barretos,Barretos,14
3505708,Barueri,Barueri,4
3505807,Bastos,Bastos,30
3505906,Batatais,Batatais,39
3506003,Bauru,Bauru,32
3506102,Bebedouro,Bebedouro,14
3506359,Bertioga,Bertioga,1
3506409,Bilac,Bilac,36
3506508,Birigui,Birigui,36
3507001,Boituva,Boituva,20
3507407,Borborema,Borborema,13
3507506,Botucatu,Botucatu,23
3507605,Bragança Paulista,Bragança Paulista,6
3507803,Brodowski,Brodowski,39
3507902,Brotas,Brotas,9
3508009,Buri,Buri,49
3508108,Buritama,Buritama,36
3508405,Cabreúva,Cabreúva,20
3508603,Cachoeira Paulista,Cachoeira Paulista,48
3508702,Caconde,Caconde,43
3508504,Caçapava,Caçapava,47
3508801,Cafelândia,Cafelândia,35
3509007,Caieiras,Caieiras,5
3509205,Cajamar,Cajamar,5
3509403,Cajuru,Cajuru,41
3509502,Campinas,Campinas,8
3509601,Campo Limpo Paulista,Campo Limpo Paulista,5
3509700,Campos do Jordão,Campos do Jordão,47
3509908,Cananéia,Cananéia,21
3510203,Capão Bonito,Capão Bonito,22
3510401,Capivari,Capivari,34
3510500,Caraguatatuba,Caraguatatuba,51
3510609,Carapicuíba,Carapicuíba,4
3510708,Cardoso,Cardoso,17
3510807,Casa Branca,Casa Branca,43
3511102,Catanduva,Catanduva,15
3510005,Cândido Mota,Cândido Mota,26
3511409,Cerqueira César,Cerqueira César,24
3511508,Cerquilho,Cerquilho,34
3511607,Cesário Lange,Cesário Lange,22
3557204,Chavantes,Chavantes,25
3512001,Colina,Colina,14
3512209,Conchal,Conchal,7
3512308,Conchas,Conchas,23
3512407,Cordeirópolis,Cordeirópolis,10
3512803,Cosmópolis,Cosmópolis,8
3513009,Cotia,Cotia,52
3513108,Cravinhos,Cravinhos,41
3513405,Cruzeiro,Cruzeiro,48
3513504,Cubatão,Cubatão,1
3513603,Cunha,Cunha,48
3513702,Descalvado,Descalvado,12
3513801,Diadema,Diadema,2
3514106,Dois Córregos,Dois Córregos,33
3514403,Dracena,Dracena,29
3514502,Duartina,Duartina,32
3514809,Eldorado,Eldorado,21
3515004,Embu das Artes,Embu das Artes,52
3515103,Embu-Guaçu,Embu-Guaçu,52
3515186,Espírito Santo do Pinhal,Espírito Santo do Pinhal,50
3515202,Estrela d'Oeste,Estrela dOeste,18
3515400,Fartura,Fartura,24
3515509,Fernandópolis,Fernandópolis,18
3515707,Ferraz de Vasconcelos,Ferraz de Vasconcelos,45
3516002,Flórida Paulista,Flórida Paulista,30
3516200,Franca,Franca,38
3516309,Francisco Morato,Francisco Morato,5
3516408,Franco da Rocha,Franco da Rocha,5
3516705,Garça,Garça,31
3516606,Gália,Gália,31
3516903,General Salgado,General Salgado,18
3517000,Getulina,Getulina,35
3517406,Guaíra,Guaíra,14
3518206,Guararapes,Guararapes,36
3518305,Guararema,Guararema,45
3518404,Guaratinguetá,Guaratinguetá,48
3517703,Guará,Guará,40
3518602,Guariba,Guariba,42
3518701,Guarujá,Guarujá,1
3518800,Guarulhos,Guarulhos,44
3519071,Hortolândia,Hortolândia,53
3519105,Iacanga,Iacanga,13
3519303,Ibaté,Ibaté,12
3519600,Ibitinga,Ibitinga,13
3519709,Ibiúna,Ibiúna,19
3519907,Iepê,Iepê,27
3520103,Igarapava,Igarapava,40
3520301,Iguape,Iguape,21
3520442,Ilha Solteira,Ilha Solteira,37
3520400,Ilhabela,Ilhabela,51
3520509,Indaiatuba,Indaiatuba,20
3520905,Ipaussu,Ipaussu,25
3521309,Ipuã,Ipuã,40
3521705,Itaberá,Itaberá,49
3521804,Itaí,Itaí,24
3521903,Itajobi,Itajobi,15
3522109,Itanhaém,Itanhaém,56
3522208,Itapecerica da Serra,Itapecerica da Serra,52
3522307,Itapetininga,Itapetininga,22
3522406,Itapeva,Itapeva,49
3522505,Itapevi,Itapevi,52
3522604,Itapira,Itapira,7
3522802,Itaporanga,Itaporanga,49
3523107,Itaquaquecetuba,Itaquaquecetuba,45
3523206,Itararé,Itararé,49
3523305,Itariri,Itariri,56
3523404,Itatiba,Itatiba,5
3523503,Itatinga,Itatinga,23
3522703,Itápolis,Itápolis,13
3523602,Itirapina,Itirapina,9
3523909,Itu,Itu,20
3524006,Itupeva,Itupeva,5
3524105,Ituverava,Ituverava,40
3524303,Jaboticabal,Jaboticabal,42
3524402,Jacareí,Jacareí,46
3524600,Jacupiranga,Jacupiranga,21
3524709,Jaguariúna,Jaguariúna,54
3524808,Jales,Jales,55
3525003,Jandira,Jandira,4
3525102,Jardinópolis,Jardinópolis,41
3525201,Jarinu,Jarinu,6
3525300,Jaú,Jaú,33
3525706,José Bonifácio,José Bonifácio,16
3525904,Jundiaí,Jundiaí,5
3526001,Junqueirópolis,Junqueirópolis,29
3526100,Juquiá,Juquiá,21
3526407,Laranjal Paulista,Laranjal Paulista,34
3526704,Leme,Leme,11
3526803,Lençóis Paulista,Lençóis Paulista,32
3526902,Limeira,Limeira,10
3527108,Lins,Lins,35
3527207,Lorena,Lorena,48
3527306,Louveira,Louveira,5
3527405,Lucélia,Lucélia,30
3528007,Macatuba,Macatuba,33
3528106,Macaubal,Macaubal,16
3528403,Mairinque,Mairinque,19
3528502,Mairiporã,Mairiporã,44
3528809,Maracaí,Maracaí,26
3529005,Marília,Marília,31
3529203,Martinópolis,Martinópolis,27
3529302,Matão,Matão,13
3529401,Mauá,Mauá,3
3529708,Miguelópolis,Miguelópolis,40
3529906,Miracatu,Miracatu,21
3530102,Mirandópolis,Mirandópolis,37
3530201,Mirante do Paranapanema,Mirante do Paranapanema,28
3530300,Mirassol,Mirassol,16
3530508,Mococa,Mococa,43
3530706,Mogi Guaçu,Mogi Guaçu,7
3530805,Mogi Mirim,Mogi Mirim,7
3530607,Mogi das Cruzes,Mogi das Cruzes,45
