municipio_id,municipio_nome,municipio_cod_tjsp,municipio_nome_tjsp,comarca_id,comarca_munsede
3500105,Adamantina,6504,Adamantina,3500105,1
3500204,Adolfo,6505,Adolfo,3525706,0
3500303,Aguaí,6506,Aguaí,3500303,1
3500709,Agudos,6511,Agudos,3500709,1
3500758,Alambari,6512,Alambari,3522307,0
3500808,Alfredo Marcondes,6513,Alfredo Marcondes,3541406,0
3500907,Altair,6514,Altair,3533908,0
3501004,Altinópolis,6515,Altinópolis,3501004,1
3501103,Alto Alegre,6516,Alto Alegre,3537305,0
3501152,Alumínio,6517,Alumínio,3528403,0
3501509,Alvinlândia,6521,Alvinlândia,3516705,0
3501608,Americana,6522,Americana,3501608,1
3501707,Américo Brasiliense,6523,Américo Brasiliense,3501707,1
3501806,Américo de Campos,6524,Américo de Campos,3553401,0
3501905,Amparo,6525,Amparo,3501905,1
3502002,Analândia,6526,Analândia,3523602,0
3502101,Andradina,6527,Andradina,3502101,1
3502200,Angatuba,6528,Angatuba,3502200,1
3502309,Anhembi,6529,Anhembi,3512308,0
3502408,Anhumas,6530,Anhumas,3541406,0
3502507,Aparecida,6531,Aparecida,3502507,1
3502606,Aparecida d'Oeste,6532,Aparecida d'Oeste,3535200,0
3502705,Apiaí,6533,Apiaí,3502705,1
3502754,Araçariguama,6534,Araçariguama,3550605,0
3502804,Araçatuba,6535,Araçatuba,3502804,1
3502903,Araçoiaba da Serra,6536,Araçoiaba da Serra,3552205,0
3503000,Aramina,6537,Aramina,3520103,0
3503109,Arandu,6538,Arandu,3504503,0
3503158,Arapeí,6539,Arapeí,3504909,0
3503208,Araraquara,6540,Araraquara,3503208,1
3503307,Araras,6541,Araras,3503307,1
3503356,Arco-Íris,6542,Arco-Íris,3555000,0
3503406,Arealva,6543,Arealva,3506003,0
3503505,Areias,6544,Areias,3541901,0
3503604,Areiópolis,6545,Areiópolis,3550100,0
3503703,Ariranha,6546,Ariranha,3545605,0
3503802,Artur Nogueira,6547,Artur Nogueira,3503802,1
3503901,Arujá,6548,Arujá,3503901,1
3503950,Aspásia,6549,Aspásia,3555802,0
3504008,Assis,6550,Assis,3504008,1
3504107,Atibaia,6551,Atibaia,3504107,1
3504206,Auriflama,6552,Auriflama,3504206,1
3504305,Avaí,6553,Avaí,3506003,0
3504404,Avanhandava,6554,Avanhandava,3537305,0
3504503,Avaré,6555,Avaré,3504503,1
3500402,Águas da Prata,6507,Águas da Prata,3549102,0
3500501,Águas de Lindóia,6508,Águas de Lindóia,3500501,1
3500550,Águas de Santa Bárbara,6509,Águas de Santa Bárbara,3511409,0
3500600,Águas de São Pedro,6510,Águas de São Pedro,3550407,0
3501202,Álvares Florence,6518,Álvares Florence,3557105,0
3501301,Álvares Machado,6519,Álvares Machado,3541406,0
3501400,Álvaro de Carvalho,6520,Álvaro de Carvalho,3516705,0
3504602,Bady Bassitt,6556,Bady Bassitt,3549805,0
3504701,Balbinos,6557,Balbinos,3538907,0
3504909,Bananal,6559,Bananal,3504909,1
3505005,Barão de Antonina,6560,Barão de Antonina,3522802,0
3505104,Barbosa,6561,Barbosa,3537305,0
3505203,Bariri,6562,Bariri,3505203,1
3505302,Barra Bonita,6563,Barra Bonita,3505302,1
3505351,Barra do Chapéu,6564,Barra do Chapéu,3502705,0
3505401,Barra do Turvo,6565,Barra do Turvo,3524600,0
3505500,Barretos,6566,Barretos,3505500,1
3505609,Barrinha,6567,Barrinha,3551702,0
3505708,Barueri,6568,Barueri,3505708,1
3505807,Bastos,6569,Bastos,3505807,1
3505906,Batatais,6570,Batatais,3505906,1
3506003,Bauru,6571,Bauru,3506003,1
3504800,Bálsamo,6558,Bálsamo,3530300,0
3506102,Bebedouro,6572,Bebedouro,3506102,1
3506201,Bento de Abreu,6573,Bento de Abreu,3556305,0
3506300,Bernardino de Campos,6574,Bernardino de Campos,3520905,0
3506359,Bertioga,6575,Bertioga,3506359,1
3506409,Bilac,6576,Bilac,3506409,1
3506508,Birigui,6577,Birigui,3506508,1
3506607,Biritiba-Mirim,6578,Biritiba-Mirim,3530607,0
3506706,Boa Esperança do Sul,6579,Boa Esperança do Sul,3542909,0
3506805,Bocaina,6580,Bocaina,3525300,0
3506904,Bofete,6581,Bofete,3540507,0
3507001,Boituva,6582,Boituva,3507001,1
3507100,Bom Jesus dos Perdões,6583,Bom Jesus dos Perdões,3532405,0
3507159,Bom Sucesso de Itararé,6584,Bom Sucesso de Itararé,3523206,0
3507308,Boracéia,6586,Boracéia,3536703,0
3507209,Borá,6585,Borá,3535507,0
3507407,Borborema,6587,Borborema,3507407,1
3507456,Borebi,6588,Borebi,3526803,0
3507506,Botucatu,6589,Botucatu,3507506,1
3507605,Bragança Paulista,6590,Bragança Paulista,3507605,1
3507704,Braúna,6591,Braúna,3537305,0
3507753,Brejo Alegre,6592,Brejo Alegre,3506508,0
3507803,Brodowski,6593,Brodowski,3507803,1
3507902,Brotas,6594,Brotas,3507902,1
3508009,Buri,6595,Buri,3508009,1
3508108,Buritama,6596,Buritama,3508108,1
3508207,Buritizal,6597,Buritizal,3520103,0
3508306,Cabrália Paulista,6598,Cabrália Paulista,3514502,0
3508405,Cabreúva,6599,Cabreúva,3508405,1
3508603,Cachoeira Paulista,6601,Cachoeira Paulista,3508603,1
3508702,Caconde,6602,Caconde,3508702,1
3508504,Caçapava,6600,Caçapava,3508504,1
3508801,Cafelândia,6603,Cafelândia,3508801,1
3508900,Caiabu,6604,Caiabu,3542404,0
3509007,Caieiras,6605,Caieiras,3509007,1
3509106,Caiuá,6606,Caiuá,3541307,0
3509205,Cajamar,6607,Cajamar,3509205,1
3509254,Cajati,6608,Cajati,3524600,0
3509304,Cajobi,6609,Cajobi,3533908,0
3509403,Cajuru,6610,Cajuru,3509403,1
3509452,Campina do Monte Alegre,6611,Campina do Monte Alegre,3502200,0
3509502,Campinas,6612,Campinas,3509502,1
3509601,Campo Limpo Paulista,6613,Campo Limpo Paulista,3509601,1
3509809,Campos Novos Paulista,6615,Campos Novos Paulista,3535309,0
3509700,Campos do Jordão,6614,Campos do Jordão,3509700,1
3509908,Cananéia,6616,Cananéia,3509908,1
3509957,Canas,6617,Canas,3527207,0
3510153,Canitar,6620,Canitar,3557204,0
3510203,Capão Bonito,6621,Capão Bonito,3510203,1
3510302,Capela do Alto,6622,Capela do Alto,3554003,0
3510401,Capivari,6623,Capivari,3510401,1
3510500,Caraguatatuba,6624,Caraguatatuba,3510500,1
3510609,Carapicuíba,6625,Carapicuíba,3510609,1
3510708,Cardoso,6626,Cardoso,3510708,1
3510807,Casa Branca,6627,Casa Branca,3510807,1
3511003,Castilho,6629,Castilho,3502101,0
3511102,Catanduva,6630,Catanduva,3511102,1
3511201,Catiguá,6631,Catiguá,3552601,0
3510906,Cássia dos Coqueiros,6628,Cássia dos Coqueiros,3509403,0
3510005,Cândido Mota,6618,Cândido Mota,3510005,1
3510104,Cândido Rodrigues,6619,Cândido Rodrigues,3553708,0
3511300,Cedral,6632,Cedral,3549805,0
3511409,Cerqueira César,6633,Cerqueira César,3511409,1
3511508,Cerquilho,6634,Cerquilho,3511508,1
3511607,Cesário Lange,6635,Cesário Lange,3511607,1
3511706,Charqueada,6636,Charqueada,3538709,0
3557204,Chavantes,7147,Chavantes,3557204,1
3511904,Clementina,6637,Clementina,3506508,0
3512001,Colina,6638,Colina,3512001,1
3512100,Colômbia,6639,Colômbia,3505500,0
3512209,Conchal,6640,Conchal,3512209,1
3512308,Conchas,6641,Conchas,3512308,1
3512407,Cordeirópolis,6642,Cordeirópolis,3512407,1
3512506,Coroados,6643,Coroados,3506508,0
3512605,Coronel Macedo,6644,Coronel Macedo,3553807,0
3512704,Corumbataí,6645,Corumbataí,3543907,0
3512902,Cosmorama,6647,Cosmorama,3553401,0
3512803,Cosmópolis,6646,Cosmópolis,3512803,1
3513009,Cotia,6648,Cotia,3513009,1
3513108,Cravinhos,6649,Cravinhos,3513108,1
3513207,Cristais Paulista,6650,Cristais Paulista,3516200,0
3513306,Cruzália,6651,Cruzália,3528809,0
3513405,Cruzeiro,6652,Cruzeiro,3513405,1
3513504,Cubatão,6653,Cubatão,3513504,1
